ad_id,date,spend,revenue,impressions,clicks,purchases,headline,body,media_type,aspect_ratio,category,labels
ad_00000,2023-01,58.06,116.71,26572,147,1,shorts for every explore,explore further 29 in our new shorts. 🚴,video,9:16,commute,vid_shorts:Video|shorts:Noun
ad_00001,2023-01,195.86,797.82,6130,47,1,cruise further in our shorts,"Engineered for performance on every terrain. Our shorts is designed to help you cruise with total confidence, whether you are on a mountain pass or a city commute through 11 changing weather.",video,4:5,gravel,vid_shorts:Video|shorts:Noun|lightweight layers:Phrase
ad_00002,2023-01,156.21,311.05,12621,65,1,premium shell built to cruise,Ride ready. Try our shell today.,image,1:1,mountain,img_shell:Image|cruise:Verb|your spring wardrobe:Phrase
ad_00003,2023-01,178.61,1440.26,13082,96,2,19 new tights collection,Ride ready. Try our tights today. ❄️,image,4:5,commute,img_tights:Image|tights:Noun|layer:Verb|built to last:Phrase
ad_00004,2023-01,131.61,273.72,14980,86,1,shred further in our kit,Our kit lets you shred better.,image,1:1,accessories,img_kit:Image
ad_00005,2023-01,120.57,283.8,38318,182,2,the jacket you need to race,Ride ready. Try our jacket today.,image,1:1,accessories,img_jacket:Image|jacket:Noun|race:Verb
ad_00006,2023-01,86.36,104.5,10870,50,1,new kit collection,"Lightweight and breathable, this kit keeps you comfortable from the first pedal stroke to the last. Designed for riders who descend in all conditions and demand the very best from their gear.",video,4:5,commute,vid_kit:Video|kit:Noun|descend:Verb
ad_00007,2023-01,177.11,768.24,35658,248,3,premium jacket built to climb,climb further 15 in our new jacket.,image,1:1,accessories,img_jacket:Image|jacket:Noun|all day comfort:Phrase
ad_00008,2023-01,292.58,963.02,15175,98,2,12 new cap collection,Built to explore. Premium cap.,video,4:5,road,vid_cap:Video|cap:Noun|explore:Verb|adventure awaits:Phrase
ad_00009,2023-01,124.23,723.92,35825,297,5,push further in our jacket,Our jacket lets you push better. 🌧️,image,4:5,accessories,img_jacket:Image|jacket:Noun|cold weather essentials:Phrase
ad_00010,2023-01,137.17,309.39,13975,75,1,13 tights for every climb,"Engineered for performance on every terrain. Our tights is designed to help you climb with total confidence, whether you are on a mountain pass or a city commute through changing weather.",video,4:5,road,vid_tights:Video|tights:Noun|climb:Verb
ad_00011,2023-01,109.89,194.99,13180,66,1,3 premium armwarmers built to conquer,Built to conquer. Premium armwarmers.,video,1:1,urban,vid_armwarmers:Video|armwarmers:Noun|conquer:Verb
ad_00012,2023-01,91.99,118.38,16142,90,1,wardrobe for every sprint,Built to sprint. Premium wardrobe.,video,9:16,road,vid_wardrobe:Video|gravel ready:Phrase
ad_00013,2023-01,144.99,410.75,31153,239,4,new 28 shorts collection,"Built 12 for the long haul. Our premium shorts combines technical fabrics with a refined fit so you can gear harder and go further, no matter what the forecast brings this season.",video,1:1,urban,vid_shorts:Video|shorts:Noun
ad_00014,2023-01,205.25,406.47,17671,119,1,premium shell built to descend,"Lightweight and breathable, this shell keeps you comfortable from the first pedal stroke to the last. Designed for riders who descend in all conditions and demand the very best from their gear. 🔥",image,1:1,road,img_shell:Image|shell:Noun|descend:Verb
ad_00015,2023-01,355.22,1761.16,18127,104,2,new shorts collection,Built to descend. 21 Premium shorts.,image,4:5,mountain,img_shorts:Image|descend:Verb|ride in comfort:Phrase
ad_00016,2023-01,81.7,216.74,22446,177,3,bibs for every cruise,Built to cruise. Premium bibs.,video,4:5,adventure,vid_bibs:Video|cruise:Verb
ad_00017,2023-01,164.04,208.01,10516,51,1,shell for every climb,Ride ready. Try our shell today.,video,1:1,adult,vid_shell:Video|climb:Verb
ad_00018,2023-01,338.73,1225.87,19319,148,3,new wardrobe collection,Ride ready. Try 10 our wardrobe today.,image,1:1,road,img_wardrobe:Image
ad_00019,2023-01,82.35,189.23,11926,73,1,new jacket collection,"Built for the long haul. Our premium jacket combines technical fabrics with a refined fit so you can explore harder and go further, no matter what the forecast brings this season.",image,4:5,mountain,img_jacket:Image|gravel ready:Phrase
ad_00020,2023-01,357.28,1442.89,34070,272,4,new jersey collection,"Lightweight and breathable, this jersey keeps you comfortable 8 from the first pedal stroke to the last. Designed for riders who conquer in all conditions and demand the very best from their gear.",image,1:1,road,img_jersey:Image|jersey:Noun|conquer:Verb|your spring wardrobe:Phrase
ad_00021,2023-01,128.37,447.42,20128,134,2,premium 21 socks built to pedal,Our socks lets you pedal better.,image,1:1,adult,img_socks:Image|socks:Noun
ad_00022,2023-01,255.99,533.72,23084,157,2,premium jacket 14 built to gear,9 gear further in our new jacket.,video,1:1,adult,vid_jacket:Video|jacket:Noun|gear:Verb
ad_00023,2023-01,146.57,467.22,5889,46,1,wardrobe for every shred,Built to shred. 25 Premium wardrobe.,image,9:16,accessories,img_wardrobe:Image
ad_00024,2023-01,219.99,369.52,23246,144,2,ride further in our gloves,ride further in our new gloves.,video,9:16,adult,vid_gloves:Video|gloves:Noun|your spring wardrobe:Phrase
ad_00025,2023-01,438.67,1960.09,14939,144,3,premium gloves built to gear,gear further in our new gloves.,image,4:5,adventure,img_gloves:Image|gloves:Noun|gear:Verb
ad_00026,2023-01,155.32,495.05,7958,54,1,the gloves you need to cruise,cruise further in our new gloves.,video,4:5,casual,vid_gloves:Video|gloves:Noun|ride in comfort:Phrase
ad_00027,2023-01,303.75,240.07,17120,63,0,armwarmers for every explore,"Lightweight and breathable, this armwarmers keeps you comfortable from the first pedal stroke to the last. Designed 13 for riders who explore in all conditions and demand the very best from their gear.",video,1:1,mountain,vid_armwarmers:Video|explore:Verb
ad_00028,2023-01,196.98,499.23,7642,65,1,gloves for every ride,ride further in our new gloves.,image,9:16,road,img_gloves:Image|gloves:Noun|race day ready:Phrase
ad_00029,2023-01,104.24,541.77,22160,222,5,shred further in our gloves,Our gloves lets you shred better.,image,4:5,gravel,img_gloves:Image|gloves:Noun
ad_00030,2023-01,153.08,380.92,33440,210,3,wardrobe for every layer,Ride ready. Try our wardrobe today.,image,1:1,accessories,img_wardrobe:Image|wardrobe:Noun
ad_00031,2023-01,147.44,1799.19,6669,78,2,kit 29 for every pedal,Our kit lets you 7 pedal better.,image,4:5,adventure,img_kit:Image|kit:Noun
ad_00032,2023-01,71.61,93.13,16083,77,1,cap for every explore,explore further in our new cap.,video,9:16,commute,vid_cap:Video|cap:Noun
ad_00033,2023-01,220.02,853.35,15034,80,1,4 new shorts collection,gear further in our new shorts.,image,4:5,mountain,img_shorts:Image|shorts:Noun|gear:Verb|all day comfort:Phrase
ad_00034,2023-01,247.92,305.5,6037,33,0,train further in our bibs,train further in our new bibs.,video,9:16,accessories,vid_bibs:Video|bibs:Noun
ad_00035,2023-01,271.99,794.44,25817,128,2,the vest 23 you need to pedal,Built 12 to pedal. Premium vest. 🔥,video,1:1,sale,vid_vest:Video|vest:Noun
ad_00036,2023-01,393.94,912.08,22323,122,2,premium tights built to train,Our tights lets you train better.,image,1:1,accessories,img_tights:Image|tights:Noun
ad_00037,2023-01,296.09,1608.2,44962,296,4,7 premium wardrobe built to conquer,Built to conquer. 9 Premium wardrobe. 🔥,video,4:5,road,vid_wardrobe:Video
ad_00038,2023-01,116.34,851.1,20923,174,4,27 the bibs you need to race,Ride ready. Try our bibs today.,image,4:5,adult,img_bibs:Image|bibs:Noun|gear up for summer:Phrase
