ad_id,date,spend,revenue,impressions,clicks,purchases,headline,body,media_type,aspect_ratio,category,labels
ad_00000,2023-01,214.91,1018.43,10521,87,1,27 new cap collection,train further in our 23 new cap.,image,1:1,casual,img_cap:Image|cap:Noun|train:Verb
ad_00001,2023-01,155.78,326.49,17422,92,1,the gloves you need to shred,Our gloves lets you shred better.,image,1:1,mountain,img_gloves:Image|gloves:Noun
ad_00002,2023-01,537.51,979.94,13353,70,1,the shorts you need to conquer,Built to conquer. Premium shorts.,video,4:5,road,vid_shorts:Video
ad_00003,2023-01,143.32,795.77,8024,65,1,explore further in our armwarmers,explore further 13 in our new armwarmers.,image,4:5,urban,img_armwarmers:Image|explore:Verb
ad_00004,2023-01,645.56,968.36,19180,102,1,push further 25 in our kit,Ride ready. Try our kit today.,video,9:16,commute,vid_kit:Video|kit:Noun|push:Verb
ad_00005,2023-01,67.92,733.4,23792,298,9,pedal further in 27 our kit,pedal further in our new kit. 🔥,image,4:5,gravel,img_kit:Image|kit:Noun|trail tested:Phrase
ad_00006,2023-01,178.13,383.79,22947,151,2,premium wardrobe built to pedal,"Lightweight and breathable, this wardrobe keeps you comfortable from the first pedal stroke to the last. Designed for riders who pedal in all conditions and demand the very best from their gear.",image,1:1,commute,img_wardrobe:Image|pedal:Verb|gravel ready:Phrase
ad_00007,2023-01,185.74,905.5,28217,294,6,pedal further in our baselayer,Ride ready. Try our baselayer today.,image,4:5,gravel,img_baselayer:Image
ad_00008,2023-01,205.11,1546.5,10702,104,2,race further in our wardrobe,Built to 9 race. Premium wardrobe.,image,4:5,gravel,img_wardrobe:Image|wardrobe:Noun
ad_00009,2023-01,260.25,552.17,27179,150,2,premium gloves 23 built to gear,Our gloves lets you gear better.,video,1:1,casual,vid_gloves:Video|gear:Verb
ad_00010,2023-01,81.02,275.47,13331,104,1,vest for every climb,Our vest lets you climb better.,image,4:5,commute,img_vest:Image|vest:Noun
ad_00011,2023-01,24.85,98.48,34158,249,4,vest for every ride,ride 9 further in our new vest.,image,1:1,urban,img_vest:Image|vest:Noun
ad_00012,2023-01,107.15,152.38,24852,201,3,descend 19 further in our gloves,"Built for the long haul. Our premium gloves combines technical fabrics with a refined fit so you can descend harder and go further, no matter what the forecast brings this season.",video,9:16,adventure,vid_gloves:Video|gloves:Noun
ad_00013,2023-01,185.18,904.72,9460,91,2,premium baselayer built to push,push further in our 19 new baselayer.,image,1:1,gravel,img_baselayer:Image|baselayer:Noun
ad_00014,2023-01,173.42,667.44,11484,77,1,new gloves collection,Built 29 to sprint. Premium gloves.,image,1:1,adult,img_gloves:Image|sprint:Verb
ad_00015,2023-01,95.99,223.14,9520,63,1,23 the gloves you need to gear,Built to gear. Premium gloves. 🌧️,video,1:1,casual,vid_gloves:Video|gear:Verb
ad_00016,2023-01,65.13,127.1,28407,177,2,15 wardrobe for every race,24 Our wardrobe lets you race better.,video,9:16,adult,vid_wardrobe:Video|wardrobe:Noun|race:Verb
ad_00017,2023-01,164.37,600.43,8806,66,1,cap for every layer,layer further in our new cap. ⛰️,image,4:5,commute,img_cap:Image|cap:Noun
ad_00018,2023-01,174.84,337.83,45015,260,3,shell for every cruise,Our shell lets you cruise better.,video,1:1,urban,vid_shell:Video|shell:Noun|race day ready:Phrase
ad_00019,2023-01,217.65,669.81,21929,182,3,conquer further in our shorts,Ride ready. Try our shorts today.,image,1:1,urban,img_shorts:Image|shorts:Noun
ad_00020,2023-01,173.32,404.19,13083,75,1,new 29 armwarmers collection,Built to descend. Premium armwarmers.,video,1:1,road,vid_armwarmers:Video|armwarmers:Noun|descend:Verb|gravel ready:Phrase
ad_00021,2023-01,110.08,116.15,57576,286,2,pedal further in our shell,Ride ready. Try our shell today.,video,9:16,adult,vid_shell:Video|shell:Noun
ad_00022,2023-01,203.39,399.73,13542,78,1,kit for every shred,Ride ready. Try our kit today.,image,9:16,sale,img_kit:Image|cold weather essentials:Phrase
ad_00023,2023-01,70.72,301.63,20101,164,3,wardrobe for every race,race further in our new wardrobe. 🚴,image,4:5,commute,img_wardrobe:Image|wardrobe:Noun
ad_00024,2023-01,40.68,70.86,8424,40,0,jacket for every sprint,sprint further in our new jacket.,image,1:1,mountain,img_jacket:Image|sprint:Verb|new arrivals:Phrase
ad_00025,2023-01,228.6,747.32,14096,96,1,the tights you need to sprint,Ride ready. Try our 7 tights today.,image,9:16,commute,img_tights:Image|tights:Noun
ad_00026,2023-01,94.37,188.84,70794,350,4,the kit you need to train,train further in our new kit. ⛰️,image,9:16,accessories,img_kit:Image|kit:Noun|train:Verb
ad_00027,2023-01,86.67,511.17,13370,120,3,conquer 15 further in our shell,Built to conquer. Premium shell.,image,4:5,accessories,img_shell:Image|shell:Noun|ride in comfort:Phrase
ad_00028,2023-01,93.29,561.03,5819,44,1,16 gear further in our kit,Our kit lets 13 you gear better.,video,4:5,gravel,vid_kit:Video|built to last:Phrase
ad_00029,2023-01,255.33,800.69,12381,75,1,new kit collection,Our kit lets you layer better.,image,4:5,adult,img_kit:Image|kit:Noun
ad_00030,2023-01,354.97,1418.44,29923,242,5,9 premium socks built to climb,Ride ready. Try our socks today. 💪,image,1:1,accessories,img_socks:Image|socks:Noun|climb:Verb|gravel ready:Phrase
ad_00031,2023-01,160.77,363.35,17207,94,1,socks 12 for every pedal,pedal further in our new socks.,video,4:5,mountain,vid_socks:Video|socks:Noun|pedal:Verb
ad_00032,2023-01,534.45,1093.56,30490,174,2,new jacket collection,Ride ready. Try our jacket today.,image,9:16,road,img_jacket:Image
ad_00033,2023-01,227.85,482.06,30010,200,2,new armwarmers collection,Our 5 armwarmers lets you race better.,video,9:16,adult,vid_armwarmers:Video|armwarmers:Noun|gear up for summer:Phrase
ad_00034,2023-01,97.25,459.91,12491,108,2,11 new vest collection,Our vest lets you push better. 🏔️,image,1:1,urban,img_vest:Image
ad_00035,2023-01,129.19,211.03,21368,117,1,premium kit built to ride,Built to ride. Premium kit.,image,9:16,road,img_kit:Image|kit:Noun|ride:Verb
ad_00036,2023-01,149.36,822.33,15185,156,3,socks for every cruise,cruise further in our new socks. ☀️,image,4:5,gravel,img_socks:Image|socks:Noun
ad_00037,2023-01,273.48,1368.08,39053,352,7,the baselayer you need to ride,Built to ride. Premium baselayer.,image,4:5,gravel,img_baselayer:Image|baselayer:Noun|ride:Verb
ad_00038,2023-01,307.37,330.82,21657,102,1,the baselayer you need to conquer,"Built for the long haul. Our premium baselayer combines technical fabrics with a refined fit so you can conquer harder and go further, no matter what the forecast brings this season.",video,4:5,sale,vid_baselayer:Video
ad_00039,2023-01,114.13,814.92,9505,97,2,premium jacket built to explore,Our jacket lets you explore better. 🚴,image,4:5,gravel,img_jacket:Image|explore:Verb|gear up for summer:Phrase
ad_00040,2023-01,534.45,1447.61,41204,265,4,the socks you need 20 to layer,"Engineered for performance on every terrain. Our socks is designed to help you layer with total confidence, whether you are on a mountain pass or a city commute through changing weather.",video,4:5,adult,vid_socks:Video|socks:Noun|all day comfort:Phrase
ad_00041,2023-01,106.98,307.21,20538,138,2,race further in our baselayer,Our baselayer lets you race better.,image,9:16,road,img_baselayer:Image|baselayer:Noun|all day comfort:Phrase
ad_00042,2023-01,205.85,468.38,13428,84,1,shred further in our socks,shred further in our new socks.,video,4:5,casual,vid_socks:Video|socks:Noun
ad_00043,2023-01,459.38,2490.8,11142,82,2,shell for every pedal,pedal further in our new shell. 🚴,image,4:5,urban,img_shell:Image|pedal:Verb|all day comfort:Phrase
ad_00044,2023-01,106.98,357.13,16135,118,2,kit for every gear,Ride ready. Try our kit today.,image,1:1,urban,img_kit:Image|trail tested:Phrase
ad_00045,2023-01,241.06,469.46,20398,123,1,premium bibs built 24 to ride,"Lightweight and breathable, this bibs keeps you comfortable from the first pedal stroke to the last. Designed for riders who ride in all conditions and demand the very best from their gear.",image,9:16,commute,img_bibs:Image|bibs:Noun|ride:Verb
ad_00046,2023-01,53.33,56.98,27477,102,1,new vest collection,descend further in our new vest.,video,1:1,mountain,vid_vest:Video|vest:Noun|descend:Verb|adventure awaits:Phrase
ad_00047,2023-01,168.58,773.73,18120,145,2,new cap collection,cruise further in our new cap.,image,4:5,adult,img_cap:Image|cap:Noun|ride in comfort:Phrase
ad_00048,2023-01,162.48,198.45,8087,30,0,shred further in our cap,"Lightweight and breathable, this cap keeps you comfortable from the first pedal stroke to the last. Designed for riders who shred in all conditions and demand the very best from their gear.",video,4:5,sale,vid_cap:Video|cap:Noun|shred:Verb
ad_00049,2023-01,382.76,1581.85,21696,200,4,the wardrobe you need to cruise,"Lightweight and breathable, this wardrobe keeps you comfortable from the first pedal stroke to the last. Designed for riders who cruise in all conditions and demand the very best from their gear. ☀️",image,4:5,gravel,img_wardrobe:Image|wardrobe:Noun|cruise:Verb
ad_00050,2023-01,140.35,234.47,24789,127,1,premium shell built to layer,Our shell lets you layer better.,image,9:16,accessories,img_shell:Image|shell:Noun|layer:Verb
ad_00051,2023-01,97.65,702.19,15261,156,4,bibs for every conquer,Ride ready. Try our bibs today. 🌧️,image,4:5,gravel,img_bibs:Image
ad_00052,2023-01,74.55,211.24,37185,299,5,explore further in our shell,explore further in our new shell.,image,1:1,casual,img_shell:Image|explore:Verb
ad_00053,2023-01,87.72,501.43,11800,109,2,premium armwarmers 15 built to conquer,Our armwarmers lets you conquer better.,image,9:16,adventure,img_armwarmers:Image|armwarmers:Noun|cold weather essentials:Phrase
ad_00054,2023-01,68.92,92.47,15058,75,1,premium socks built to race,Built to race. Premium socks. ❄️,video,1:1,adult,vid_socks:Video|socks:Noun|race:Verb
ad_00055,2023-01,91.62,253.19,11884,79,1,premium tights built to explore,Ride ready. Try our tights today. ☀️,image,1:1,road,img_tights:Image|explore:Verb
ad_00056,2023-01,130.16,299.91,11999,87,1,the 15 gloves you need to race,"Built for the long haul. Our premium gloves combines technical fabrics with a refined fit so you can race harder and go further, no matter what the forecast brings this season. ❄️",image,9:16,road,img_gloves:Image|gloves:Noun
ad_00057,2023-01,42.44,218.89,30891,269,5,10 armwarmers for every train,Our armwarmers lets you 10 train better.,image,1:1,road,img_armwarmers:Image
ad_00058,2023-03,76.07,189.19,23169,185,3,premium wardrobe built to conquer,"Built for the long haul. Our premium wardrobe combines technical fabrics with a refined fit so you can conquer harder and go further, no matter what the forecast brings this season.",image,1:1,casual,img_wardrobe:Image|trail tested:Phrase
ad_00059,2023-03,229.6,1508.28,52259,477,12,shorts 10 for every climb,"Engineered for performance on every terrain. Our shorts is designed to help you climb with total confidence, whether you are on a mountain pass or a city commute through changing weather.",image,4:5,urban,img_shorts:Image|shorts:Noun|climb:Verb|your spring wardrobe:Phrase
ad_00060,2023-03,110.38,443.54,15805,144,2,new gloves collection,"Lightweight and breathable, this gloves keeps you comfortable from the first pedal stroke to the last. Designed for riders who cruise in all conditions and demand the very best from their gear. 💪",image,4:5,urban,img_gloves:Image|gloves:Noun|new arrivals:Phrase
