ad_id,date,spend,revenue,impressions,clicks,purchases,headline,body,media_type,aspect_ratio,category,labels
ad_00000,2023-01,214.91,252.56,10521,53,0,27 new cap collection,train further in our 23 new cap.,image,1:1,casual,img_cap:Image|cap:Noun|train:Verb
ad_00001,2023-01,155.78,168.87,17422,73,1,the gloves you need to shred,Our gloves lets you shred better.,image,1:1,mountain,img_gloves:Image|gloves:Noun
ad_00002,2023-01,537.51,1837.38,13353,88,1,the shorts you need to conquer,Built to conquer. Premium shorts.,video,4:5,road,vid_shorts:Video
ad_00003,2023-01,143.32,411.61,8024,52,1,explore further in our armwarmers,explore further 13 in our new armwarmers.,image,4:5,urban,img_armwarmers:Image|explore:Verb
ad_00004,2023-01,645.56,870.53,19180,97,1,push further 25 in our kit,Ride ready. Try our kit today.,video,9:16,commute,vid_kit:Video|kit:Noun|push:Verb
ad_00005,2023-01,67.92,181.88,23792,181,3,pedal further in 27 our kit,pedal further in our new kit. 🔥,image,4:5,gravel,img_kit:Image|kit:Noun|trail tested:Phrase
ad_00006,2023-01,178.13,397.02,22947,147,2,premium wardrobe built to pedal,"Lightweight and breathable, this wardrobe keeps you comfortable from the first pedal stroke to the last. Designed for riders who pedal in all conditions and demand the very best from their gear.",image,1:1,commute,img_wardrobe:Image|pedal:Verb|gravel ready:Phrase
ad_00007,2023-01,185.74,468.36,28217,235,4,pedal further in our baselayer,Ride ready. Try our baselayer today.,image,4:5,gravel,img_baselayer:Image
ad_00008,2023-01,205.11,799.91,10702,84,1,race further in our wardrobe,Built to 9 race. Premium wardrobe.,image,4:5,gravel,img_wardrobe:Image|wardrobe:Noun
ad_00009,2023-01,260.25,496.38,27179,142,2,premium gloves 23 built to gear,Our gloves lets you gear better.,video,1:1,casual,vid_gloves:Video|gear:Verb
ad_00010,2023-01,81.02,142.49,13331,83,1,vest for every climb,Our vest lets you climb better.,image,4:5,commute,img_vest:Image|vest:Noun
ad_00011,2023-01,24.85,50.94,34158,199,2,vest for every ride,ride 9 further in our new vest.,image,1:1,urban,img_vest:Image|vest:Noun
